Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery,ETA
1461766292.000021,42.355914,-71.097155,4.250912,30.000000,332.226562,0.000000,0.870000,inf
1461766299.007384,42.355704,-71.097331,4.250912,217.662122,-1.000000,-1.000000,0.870000,inf
1461766299.021051,42.355499,-71.097503,4.250912,217.662370,-1.000000,-1.000000,0.870000,inf
1461766299.039614,42.355298,-71.097672,4.250912,217.662828,-1.000000,-1.000000,0.870000,inf
1461766299.065587,42.355102,-71.097836,4.250912,217.663725,-1.000000,-1.000000,0.870000,inf
1461766299.071852,42.354911,-71.097997,4.250912,217.663777,-1.000000,-1.000000,0.870000,inf
1461766299.085889,42.354724,-71.098154,4.250912,217.664039,-1.000000,-1.000000,0.870000,inf
1461766299.267046,42.356017,-71.097353,9.225741,65.000000,-1.000000,-1.000000,0.870000,inf
1461766301.000021,42.356225,-71.097400,-6.620029,50.000000,-1.000000,0.000000,0.870000,inf
1461766302.000077,42.356256,-71.097469,1.681789,30.000000,356.484375,1.050000,0.870000,-304.254496
1461766303.000016,42.356274,-71.097400,4.597988,30.000000,-1.000000,0.720000,0.870000,-304.254496
1461766304.000016,42.356268,-71.097478,5.768642,10.000000,209.882812,1.050000,0.870000,-350.568441
1461766305.000007,42.356247,-71.097515,5.812344,10.000000,239.062500,1.110000,0.870000,250.796163
1461766306.000046,42.356260,-71.097500,5.767086,10.000000,8.789062,0.740000,0.870000,-3128.118329
1461766306.999927,42.356308,-71.097508,6.443569,5.000000,358.945312,0.740000,0.870000,472.990441
1461766308.000063,42.356324,-71.097482,6.697109,5.000000,48.164062,0.740000,0.870000,-1240.678015
1461766309.000006,42.356343,-71.097471,7.277767,5.000000,20.742188,0.990000,0.870000,-347.813373
1461766310.000000,42.356333,-71.097452,7.112148,5.000000,22.148438,0.990000,0.870000,-193.564617
1461766310.999778,42.356355,-71.097448,7.596004,5.000000,21.796875,1.050000,0.870000,-162.392429
1461766311.999985,42.356368,-71.097442,7.493679,5.000000,21.796875,1.320000,0.870000,-133.558240
1461766312.999985,42.356375,-71.097440,7.704525,5.000000,21.796875,1.050000,0.870000,-154.710369
1461766313.999985,42.356383,-71.097439,7.628872,5.000000,21.796875,0.830000,0.870000,-197.465080
1461766314.999985,42.356392,-71.097440,7.838375,5.000000,21.796875,0.820000,0.870000,-227.043351
1461766315.999985,42.356401,-71.097443,7.797207,5.000000,21.796875,0.820000,0.870000,-259.223728
1461766316.999985,42.356413,-71.097442,8.175961,5.000000,21.796875,0.820000,0.870000,-314.985989
1461766317.999985,42.356427,-71.097437,7.823421,5.000000,21.796875,1.010000,0.870000,-368.510939
1461766318.999985,42.356440,-71.097428,7.966915,5.000000,21.796875,1.160000,0.870000,-499.531971
1461766319.999986,42.356452,-71.097414,7.521145,5.000000,21.796875,1.250000,0.870000,-833.677145
1461766321.000253,42.356459,-71.097396,6.861507,5.000000,21.796875,1.250000,0.870000,-1217.224923
1461766321.999985,42.356465,-71.097377,6.882900,5.000000,21.796875,1.250000,0.870000,-1338.365052
1461766322.999986,42.356471,-71.097356,6.761501,5.000000,21.796875,1.280000,0.870000,-1280.253647
1461766323.999985,42.356479,-71.097334,6.811367,10.000000,21.796875,1.470000,0.870000,-1300.143641
1461766324.999986,42.356488,-71.097316,6.909176,5.000000,21.796875,1.290000,0.870000,-4237.616882
1461766325.999985,42.356496,-71.097301,6.857601,25.000000,21.796875,1.290000,0.870000,2919.860117
