Time,X,Y,Z
2016-05-10 22:36:23 +0000,0.097977,-0.183502,-0.990875
2016-05-10 22:36:24 +0000,-0.002960,-0.105255,-1.001923
2016-05-10 22:36:25 +0000,-0.005814,-0.111069,-0.987183
2016-05-10 22:36:26 +0000,0.000000,-0.117020,-0.986786
2016-05-10 22:36:27 +0000,0.004089,-0.132721,-0.981033
2016-05-10 22:36:28 +0000,-0.001648,-0.133347,-0.994461
2016-05-10 22:36:29 +0000,0.002792,-0.135025,-0.987579
2016-05-10 22:36:30 +0000,0.005417,-0.118637,-0.990295
2016-05-10 22:36:31 +0000,-0.004608,-0.125031,-0.995163
2016-05-10 22:36:32 +0000,0.002213,-0.135391,-0.989883
2016-05-10 22:36:33 +0000,0.007095,-0.117432,-1.004608
2016-05-10 22:36:47 +0000,0.128372,-0.224960,-0.965775
2016-05-10 22:36:48 +0000,-0.016922,-0.167603,-0.925568
2016-05-10 22:36:49 +0000,0.008652,-0.145813,-0.983414
2016-05-10 22:36:50 +0000,0.017410,-0.155548,-0.979996
2016-05-10 22:36:51 +0000,0.017410,-0.164352,-0.971222
2016-05-10 22:36:52 +0000,0.012787,-0.159592,-0.979080
2016-05-10 22:36:53 +0000,0.013702,-0.158234,-0.997803
2016-05-10 22:36:54 +0000,0.011978,-0.154099,-0.993744
2016-05-10 22:36:55 +0000,0.009338,-0.156830,-0.978195
2016-05-10 22:36:56 +0000,0.008362,-0.149094,-0.992462
2016-05-10 22:36:57 +0000,0.007858,-0.139832,-0.987869
2016-05-10 22:36:58 +0000,0.005905,-0.155487,-0.974167
2016-05-10 22:36:59 +0000,-0.000671,-0.139297,-1.004456
2016-05-10 22:37:00 +0000,0.001999,-0.146576,-0.991714
2016-05-10 22:37:01 +0000,0.000336,-0.152695,-0.975952
2016-05-10 22:37:02 +0000,-0.001816,-0.137283,-0.976212
2016-05-10 22:37:03 +0000,-0.006241,-0.148590,-0.973328
2016-05-10 22:37:04 +0000,0.009430,-0.162582,-0.974823
2016-05-10 22:37:05 +0000,-0.000320,-0.158829,-0.990402
2016-05-10 22:37:06 +0000,-0.010895,-0.157974,-0.986008
2016-05-10 22:37:07 +0000,0.025772,-0.150955,-0.980972
2016-05-10 22:40:34 +0000,-0.113617,-0.095291,-1.073242
2016-05-10 22:40:35 +0000,0.019485,-0.120438,-1.062759
2016-05-10 22:40:36 +0000,-0.008377,-0.098358,-0.994034
2016-05-10 22:40:37 +0000,0.019119,-0.173645,-0.963272
2016-05-10 22:40:38 +0000,-0.123199,0.037659,-1.040573
2016-05-10 22:40:39 +0000,0.137939,-0.125809,-0.985855
2016-05-10 22:40:40 +0000,-0.052795,-0.164536,-0.965942
2016-05-10 22:40:41 +0000,0.014145,-0.206268,-0.970825
2016-05-10 22:40:42 +0000,0.126450,-0.106400,-0.951401
2016-05-10 22:40:43 +0000,-0.042038,-0.178055,-1.011536
2016-05-10 22:40:44 +0000,0.089661,-0.131088,-1.230438
2016-05-10 22:40:45 +0000,-0.007187,-0.186691,-0.924942
2016-05-10 22:40:46 +0000,-0.130447,-0.094513,-0.591034
2016-05-10 22:40:47 +0000,-0.014999,-0.097229,-0.709702
2016-05-10 22:40:48 +0000,-0.026047,-0.091187,-0.653992
2016-05-10 22:40:49 +0000,-0.033691,-0.068192,-0.753723
2016-05-10 22:40:50 +0000,0.005905,-0.062897,-0.763428
2016-05-10 22:40:51 +0000,0.098740,-0.087234,-0.823853
2016-05-10 22:40:52 +0000,0.057114,0.107986,-1.000870
2016-05-10 22:40:53 +0000,0.058105,0.036240,-0.934326
2016-05-10 22:40:54 +0000,0.151367,0.013351,-1.253174
2016-05-10 22:40:55 +0000,0.130997,-0.058243,-1.284531
2016-05-10 22:40:56 +0000,-0.017334,-0.103149,-1.014359
2016-05-10 22:40:57 +0000,0.018875,-0.121109,-0.986053
2016-05-10 22:40:58 +0000,-0.011093,-0.095825,-0.918945
2016-05-10 22:40:59 +0000,-0.031708,-0.098068,-0.797058
2016-05-10 22:41:00 +0000,-0.065567,-0.057724,-0.778442
2016-05-10 22:41:01 +0000,-0.057465,0.019989,-0.782486
2016-05-10 22:41:02 +0000,0.017075,-0.008606,-0.957336
2016-05-10 22:41:03 +0000,-0.021988,-0.050919,-0.875885
2016-05-10 22:41:04 +0000,-0.055649,-0.255142,-0.607956
2016-05-10 22:41:05 +0000,0.019852,0.073944,-1.137222
2016-05-10 22:41:06 +0000,0.063858,0.087311,-1.434952
2016-05-10 22:41:07 +0000,-0.045670,-0.213364,-1.093750
2016-05-10 22:41:08 +0000,0.038544,-0.235489,-1.075485
2016-05-10 22:41:09 +0000,0.011169,-0.184204,-1.040466
2016-05-10 22:41:10 +0000,0.053207,-0.139145,-1.094254
2016-05-10 22:41:11 +0000,0.031235,-0.101990,-1.043640
2016-05-10 22:41:12 +0000,0.027206,-0.118271,-0.950974
2016-05-10 22:41:13 +0000,0.043228,-0.099854,-0.959213
2016-05-10 22:41:14 +0000,-0.003494,-0.055786,-0.868011
2016-05-10 22:41:15 +0000,-0.050385,-0.051849,-0.701096
2016-05-10 22:41:16 +0000,-0.084396,-0.111710,-0.608444
2016-05-10 22:41:17 +0000,0.039291,-0.127441,-0.810181
2016-05-10 22:41:18 +0000,0.062439,-0.095520,-0.832153
2016-05-10 22:41:19 +0000,0.147217,-0.080551,-0.918777
2016-05-10 22:41:20 +0000,0.080505,-0.037033,-0.982346
2016-05-10 22:41:21 +0000,-0.062256,-0.028458,-0.775665
2016-05-10 22:41:22 +0000,0.027603,0.091324,-1.086578
2016-05-10 22:41:23 +0000,0.087265,0.069580,-1.475754
2016-05-10 22:41:24 +0000,-0.088852,-0.101135,-1.051346
2016-05-10 22:41:25 +0000,-0.028183,-0.090088,-1.259827
2016-05-10 22:41:26 +0000,-0.054642,-0.121292,-1.137466
2016-05-10 22:41:27 +0000,-0.002518,-0.189194,-1.092133
2016-05-10 22:41:28 +0000,-0.045242,-0.180237,-1.068985
2016-05-10 22:41:29 +0000,0.021500,-0.204895,-0.996948
2016-05-10 22:41:30 +0000,0.010849,-0.169449,-1.015381
2016-05-10 22:41:31 +0000,0.018814,-0.125488,-0.990784
2016-05-10 22:41:32 +0000,-0.031143,-0.153778,-1.012527
2016-05-10 22:41:33 +0000,0.001251,-0.168900,-0.981918
2016-05-10 22:41:34 +0000,-0.014252,-0.201843,-0.949631
2016-05-10 22:41:35 +0000,-0.014923,-0.163361,-0.972168
2016-05-10 22:41:36 +0000,-0.019440,-0.154572,-0.976700
2016-05-10 22:41:37 +0000,-0.002426,-0.149658,-0.946045
2016-05-10 22:41:38 +0000,-0.034637,-0.131027,-0.834274
2016-05-10 22:41:39 +0000,-0.067307,-0.149414,-0.759659
2016-05-10 22:41:40 +0000,-0.095093,-0.128052,-0.655472
2016-05-10 22:41:41 +0000,-0.130737,-0.098221,-0.685730
2016-05-10 22:41:42 +0000,-0.059662,-0.017807,-0.754852
2016-05-10 22:41:43 +0000,-0.096008,0.001358,-0.796265
2016-05-10 22:41:44 +0000,-0.016891,-0.008102,-0.881104
2016-05-10 22:41:45 +0000,0.014404,-0.002945,-0.910446
2016-05-10 22:41:46 +0000,-0.017395,-0.006943,-0.875839
2016-05-10 22:41:47 +0000,-0.012115,-0.004333,-0.873367
2016-05-10 22:41:48 +0000,0.031799,-0.000259,-1.006851
2016-05-10 22:41:49 +0000,0.024261,0.022430,-0.981522
2016-05-10 22:41:50 +0000,0.018021,-0.008514,-0.957260
2016-05-10 22:41:51 +0000,0.001785,-0.007080,-0.904907
2016-05-10 22:41:52 +0000,-0.011688,-0.094818,-0.806610
2016-05-10 22:41:53 +0000,-0.065308,-0.145966,-0.614899
2016-05-10 22:41:54 +0000,-0.063675,-0.065704,-0.857864
2016-05-10 22:41:55 +0000,-0.037170,0.026154,-1.152084
2016-05-10 22:41:56 +0000,0.018021,0.257401,-1.378677
2016-05-10 22:41:57 +0000,0.035202,0.039017,-1.439331
2016-05-10 22:41:58 +0000,0.012161,-0.133652,-1.133453
2016-05-10 22:41:59 +0000,-0.084808,-0.161072,-1.143295
2016-05-10 22:42:00 +0000,-0.047089,-0.187500,-1.139542
2016-05-10 22:42:01 +0000,-0.010620,-0.189178,-1.158218
2016-05-10 22:42:02 +0000,-0.004944,-0.119141,-1.096375
2016-05-10 22:42:03 +0000,-0.019974,-0.107437,-1.027191
2016-05-10 22:42:04 +0000,0.008759,-0.094742,-1.078598
2016-05-10 22:42:05 +0000,-0.005508,-0.014572,-1.038574
2016-05-10 22:42:06 +0000,0.033463,-0.068069,-1.131302
2016-05-10 22:42:07 +0000,0.029739,-0.080475,-1.082306
2016-05-10 22:42:08 +0000,0.020599,-0.092422,-0.928604
2016-05-10 22:42:09 +0000,0.024170,-0.061966,-1.026184
2016-05-10 22:42:10 +0000,0.022659,-0.094788,-0.967072
2016-05-10 22:42:11 +0000,0.019989,-0.109604,-0.918732
2016-05-10 22:42:12 +0000,-0.006531,-0.085281,-0.859802
2016-05-10 22:42:13 +0000,-0.011520,-0.119675,-0.745239
2016-05-10 22:42:14 +0000,-0.097137,-0.081009,-0.759598
2016-05-10 22:42:15 +0000,0.017593,-0.104965,-0.837021
2016-05-10 22:42:16 +0000,-0.077438,-0.091827,-0.628494
2016-05-10 22:42:17 +0000,-0.065933,-0.139740,-0.614838
