Time,X,Y,Z
2016-05-10 22:36:23 +0000,16.997910,27.682541,-407.942871
2016-05-10 22:36:24 +0000,14.743073,27.156921,-409.766998
2016-05-10 22:36:25 +0000,13.528946,27.682541,-408.606201
2016-05-10 22:36:26 +0000,14.222733,25.930481,-407.942871
2016-05-10 22:36:27 +0000,14.916534,27.332123,-408.274536
2016-05-10 22:36:28 +0000,13.008606,26.806519,-409.103668
2016-05-10 22:36:29 +0000,14.396179,26.456100,-408.108704
2016-05-10 22:36:30 +0000,13.182053,28.032959,-408.937836
2016-05-10 22:36:31 +0000,12.661697,25.054459,-409.103668
2016-05-10 22:36:32 +0000,14.049286,25.755280,-408.440369
2016-05-10 22:36:33 +0000,14.396179,26.806519,-409.435333
2016-05-10 22:36:47 +0000,12.661697,18.747040,-408.772003
2016-05-10 22:36:48 +0000,8.672394,21.375122,-408.606201
2016-05-10 22:36:49 +0000,9.019287,20.674301,-408.606201
2016-05-10 22:36:50 +0000,8.325500,19.973480,-408.274536
2016-05-10 22:36:51 +0000,9.366196,19.973480,-407.611206
2016-05-10 22:36:52 +0000,9.192734,19.447861,-408.440369
2016-05-10 22:36:53 +0000,8.325500,19.272659,-408.274536
2016-05-10 22:36:54 +0000,6.417572,20.148682,-408.108704
2016-05-10 22:36:55 +0000,7.631714,19.623062,-409.601166
2016-05-10 22:36:56 +0000,9.366196,19.623062,-408.606201
2016-05-10 22:36:57 +0000,9.366196,20.674301,-409.601166
2016-05-10 22:36:58 +0000,7.978607,19.272659,-409.269501
2016-05-10 22:36:59 +0000,7.111359,19.447861,-409.766998
2016-05-10 22:37:00 +0000,7.978607,19.623062,-410.264465
2016-05-10 22:37:01 +0000,7.805161,19.447861,-409.435333
2016-05-10 22:37:02 +0000,7.284805,20.674301,-409.269501
2016-05-10 22:37:03 +0000,7.631714,20.674301,-409.601166
2016-05-10 22:37:04 +0000,9.366196,18.922241,-409.269501
2016-05-10 22:37:05 +0000,7.805161,18.396622,-408.440369
2016-05-10 22:37:06 +0000,6.937912,19.272659,-408.274536
2016-05-10 22:37:07 +0000,7.458267,19.798264,-410.098633
2016-05-10 22:40:34 +0000,13.182053,35.041199,-413.581116
2016-05-10 22:40:35 +0000,16.477554,34.865982,-412.088623
2016-05-10 22:40:36 +0000,16.304108,35.041199,-411.259460
