Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA,Type,Outside
2016-05-10 23:48:51 +0000,42.359115,-71.093472,6.486080,10.000000,196.875000,0.160000,9333.781572,GPS,1
2016-05-10 23:48:51 +0000,42.359115,-71.093472,6.486080,10.000000,196.875000,0.160000,6222.521048,GPS,1
2016-05-10 23:48:52 +0000,42.359115,-71.093472,6.486080,10.000000,196.875000,0.160000,5333.589470,GPS,1
2016-05-10 23:48:52 +0000,42.359120,-71.093471,6.624111,10.000000,216.914062,0.190000,4835.581351,GPS,1
2016-05-10 23:48:53 +0000,42.359120,-71.093471,6.128445,10.000000,225.000000,0.000000,9671.162702,GPS,1
2016-05-10 23:48:54 +0000,42.359120,-71.093471,6.474636,10.000000,206.015625,0.000000,19342.325405,GPS,1
2016-05-10 23:48:55 +0000,42.359120,-71.093471,6.442806,10.000000,113.203125,0.000000,38684.650810,GPS,1
2016-05-10 23:48:56 +0000,42.359120,-71.093471,6.566402,10.000000,187.734375,0.000000,77369.301619,GPS,1
2016-05-10 23:48:57 +0000,42.359151,-71.093469,6.634548,10.000000,189.492188,0.340000,926.307855,GPS,1
2016-05-10 23:48:58 +0000,42.359148,-71.093476,6.816616,10.000000,203.203125,0.360000,624.912988,GPS,1
2016-05-10 23:48:59 +0000,42.359145,-71.093484,6.754330,10.000000,209.882812,0.420000,467.736349,GPS,1
2016-05-10 23:49:00 +0000,42.359146,-71.093492,6.886806,10.000000,282.656250,0.420000,453.129377,GPS,1
2016-05-10 23:49:01 +0000,42.359150,-71.093499,6.821743,10.000000,18.984375,0.580000,562.219276,GPS,1
2016-05-10 23:49:02 +0000,42.359153,-71.093501,6.663692,10.000000,28.476562,0.160000,718.464719,GPS,1
2016-05-10 23:49:03 +0000,42.359155,-71.093507,6.658962,10.000000,25.664062,0.280000,647.421444,GPS,1
2016-05-10 23:49:04 +0000,42.359157,-71.093519,6.578335,10.000000,293.906250,0.520000,689.996028,GPS,1
2016-05-10 23:49:05 +0000,42.359156,-71.093529,6.490932,10.000000,264.726562,0.500000,540.723672,GPS,1
2016-05-10 23:49:06 +0000,42.359156,-71.093529,6.515041,10.000000,267.187500,0.000000,1081.447345,GPS,1
2016-05-10 23:49:07 +0000,42.359155,-71.093526,6.546993,10.000000,94.921875,0.500000,506.072425,GPS,1
2016-05-10 23:49:13 +0000,42.359158,-71.093442,6.546993,10.000000,83.722306,1.179756,239.933931,Est,0
2016-05-10 23:49:15 +0000,42.359160,-71.093358,6.546993,10.000000,85.220715,1.179756,217.608652,Est,0
2016-05-10 23:49:18 +0000,42.359164,-71.093273,6.546993,10.000000,83.562381,1.194727,337.613625,Est,0
2016-05-10 23:49:21 +0000,42.359164,-71.093189,6.546993,10.000000,88.209012,1.198661,482.812309,Est,0
2016-05-10 23:49:23 +0000,42.359169,-71.093106,6.546993,10.000000,80.175719,1.202938,239.907804,Est,0
2016-05-10 23:49:26 +0000,42.359181,-71.093028,6.546993,10.000000,63.847156,1.202423,173.270220,Est,0
2016-05-10 23:49:28 +0000,42.359197,-71.092958,6.546993,10.000000,55.482417,1.208163,162.674979,Est,0
2016-05-10 23:49:31 +0000,42.359207,-71.092877,6.546993,10.000000,69.916238,1.212690,134.530489,Est,0
2016-05-10 23:49:33 +0000,42.359211,-71.092792,6.546993,10.000000,81.145979,1.212908,98.932472,Est,0
2016-05-10 23:49:36 +0000,42.359215,-71.092707,6.546993,10.000000,81.145979,1.214248,162.995343,Est,0
2016-05-10 23:49:38 +0000,42.359220,-71.092622,6.546993,10.000000,81.122741,1.215599,97.981754,Est,0
2016-05-10 23:49:41 +0000,42.359219,-71.092534,6.546993,10.000000,92.311946,1.217982,75.605211,Est,0
2016-05-10 23:49:44 +0000,42.359223,-71.092448,6.546993,10.000000,80.548943,1.217753,63.823302,Est,0
2016-05-10 23:49:46 +0000,42.359230,-71.092363,6.546993,10.000000,75.214268,1.220170,59.883620,Est,0
2016-05-10 23:49:49 +0000,42.359234,-71.092276,6.546993,10.000000,82.308822,1.221763,82.048190,Est,0
2016-05-10 23:49:51 +0000,42.359238,-71.092191,6.546993,10.000000,81.811058,1.223134,53.980909,Est,0
2016-05-10 23:49:54 +0000,42.359244,-71.092107,6.546993,10.000000,78.172062,1.224250,49.479532,Est,0
2016-05-10 23:49:56 +0000,42.359252,-71.092025,6.546993,10.000000,73.131372,1.225935,38.637029,Est,0
2016-05-10 23:49:59 +0000,42.359256,-71.091938,6.546993,10.000000,82.221859,1.228249,56.164502,Est,0
2016-05-10 23:50:01 +0000,42.359260,-71.091851,6.546993,10.000000,80.707189,1.228918,57.772337,Est,0
2016-05-10 23:50:04 +0000,42.359261,-71.091764,6.546993,10.000000,89.697334,1.233457,48.438756,Est,0
2016-05-10 23:50:06 +0000,42.359262,-71.091676,6.546993,10.000000,86.617056,1.237911,27.398231,Est,0
2016-05-10 23:50:09 +0000,42.359265,-71.091589,6.546993,10.000000,83.490648,1.240450,47.148528,Est,0
2016-05-10 23:50:12 +0000,42.359270,-71.091485,6.546993,10.000000,82.826161,1.244454,43.791172,Est,0
2016-05-10 23:50:14 +0000,42.359274,-71.091399,6.546993,10.000000,80.686723,1.247590,56.683201,Est,0
2016-05-10 23:50:17 +0000,42.359287,-71.091319,6.546993,10.000000,63.235860,1.252877,41.650376,Est,0
2016-05-10 23:50:19 +0000,42.359298,-71.091236,6.546993,10.000000,68.435414,1.255474,39.772642,Est,0
2016-05-10 23:50:22 +0000,42.359305,-71.091151,6.546993,10.000000,75.686907,1.257642,69.181378,Est,0
2016-05-10 23:50:24 +0000,42.359311,-71.091068,6.546993,10.000000,76.972538,1.261172,69.191163,Est,0
2016-05-10 23:50:27 +0000,42.359319,-71.090965,6.546993,10.000000,76.725583,1.264428,140.819572,Est,0
2016-05-10 23:50:29 +0000,42.359323,-71.090879,6.546993,10.000000,81.897442,1.265822,155.471175,Est,0
2016-05-10 23:50:32 +0000,42.359296,-71.090853,6.546993,10.000000,163.105978,1.267508,155.201823,Est,0
2016-05-10 23:50:34 +0000,42.359257,-71.090818,6.546993,10.000000,163.500507,1.267508,206.154392,Est,0
2016-05-10 23:50:37 +0000,42.359247,-71.090808,6.546993,10.000000,163.500507,1.267508,140.863423,Est,0
2016-05-10 23:50:40 +0000,42.359220,-71.090791,6.546993,10.000000,168.483769,1.268731,81.031269,Est,0
2016-05-10 23:50:42 +0000,42.359191,-71.090779,6.546993,10.000000,172.247225,1.270881,68.612391,Est,0
2016-05-10 23:50:45 +0000,42.359163,-71.090767,6.546993,10.000000,171.482576,1.271793,70.957760,Est,0
2016-05-10 23:50:48 +0000,42.359241,-71.091778,4.769131,10.000000,51.328125,0.520000,36.997625,GPS,1
2016-05-10 23:50:49 +0000,42.359260,-71.091769,4.861385,10.000000,75.585938,0.760000,38.303611,GPS,1
2016-05-10 23:50:50 +0000,42.359274,-71.091761,4.820705,10.000000,145.546875,0.860000,72.636419,GPS,1
2016-05-10 23:50:51 +0000,42.359285,-71.091761,4.801022,10.000000,177.187500,0.910000,97.577240,GPS,1
2016-05-10 23:50:52 +0000,42.359294,-71.091766,4.863186,5.000000,188.085938,0.860000,51.491299,GPS,1
2016-05-10 23:50:53 +0000,42.359302,-71.091773,4.879269,5.000000,189.492188,0.910000,96.093432,GPS,1
2016-05-10 23:50:54 +0000,42.359303,-71.091779,4.873714,5.000000,188.085938,0.980000,47.459803,GPS,1
2016-05-10 23:50:55 +0000,42.359308,-71.091780,4.852444,5.000000,179.296875,0.980000,44.509891,GPS,1
2016-05-10 23:50:56 +0000,42.359309,-71.091773,4.846676,5.000000,157.148438,0.980000,41.646436,GPS,1
2016-05-10 23:50:57 +0000,42.359309,-71.091766,5.095119,5.000000,148.359375,0.940000,64.474155,GPS,1
2016-05-10 23:50:58 +0000,42.359308,-71.091760,5.262386,5.000000,153.632812,0.960000,44.771266,GPS,1
2016-05-10 23:50:59 +0000,42.359308,-71.091760,5.186306,5.000000,158.554688,0.960000,49.683474,GPS,1
2016-05-10 23:51:00 +0000,42.359304,-71.091757,5.129238,5.000000,151.875000,0.960000,72.537727,GPS,1
2016-05-10 23:51:01 +0000,42.359301,-71.091756,5.043026,5.000000,157.148438,0.690000,65.575938,GPS,1
2016-05-10 23:51:02 +0000,42.359300,-71.091756,4.936550,5.000000,158.554688,0.690000,69.993815,GPS,1
2016-05-10 23:51:03 +0000,42.359298,-71.091756,5.015835,10.000000,161.015625,0.580000,124.261143,GPS,1
2016-05-10 23:51:04 +0000,42.359299,-71.091756,5.159695,10.000000,156.093750,0.580000,74.705412,GPS,1
2016-05-10 23:51:05 +0000,42.359297,-71.091755,5.132168,10.000000,153.632812,0.580000,62.821798,GPS,1
2016-05-10 23:51:06 +0000,42.359293,-71.091751,5.095699,10.000000,152.929688,0.380000,69.308317,GPS,1
2016-05-10 23:51:07 +0000,42.359287,-71.091745,5.013454,10.000000,153.281250,0.560000,57.666709,GPS,1
2016-05-10 23:51:08 +0000,42.359279,-71.091736,5.237667,10.000000,153.281250,0.560000,51.916023,GPS,1
2016-05-10 23:51:09 +0000,42.359274,-71.091728,5.045986,10.000000,153.281250,0.400000,57.834466,GPS,1
2016-05-10 23:51:10 +0000,42.359274,-71.091728,5.365200,10.000000,152.929688,0.000000,115.668931,GPS,1
