Time,Distance
2016-05-04 14:58:44 +0000,3.357933
2016-05-04 14:58:46 +0000,3.675815
2016-05-04 14:58:49 +0000,4.049687
2016-05-04 14:58:51 +0000,3.520635
2016-05-04 14:58:54 +0000,3.536175
2016-05-04 14:58:56 +0000,3.496494
2016-05-04 14:58:59 +0000,3.751268
2016-05-04 14:59:01 +0000,3.890280
2016-05-04 14:59:04 +0000,3.395737
2016-05-04 14:59:07 +0000,3.772618
2016-05-04 14:59:09 +0000,3.886935
2016-05-04 14:59:12 +0000,3.875751
2016-05-04 14:59:14 +0000,4.092616
2016-05-04 14:59:17 +0000,3.603969
2016-05-04 14:59:19 +0000,3.272878
2016-05-04 14:59:22 +0000,3.068238
2016-05-04 14:59:24 +0000,2.972103
2016-05-04 14:59:27 +0000,3.029849
2016-05-04 14:59:30 +0000,2.927321
2016-05-04 14:59:32 +0000,3.270761
2016-05-04 14:59:35 +0000,3.453644
2016-05-04 14:59:37 +0000,3.521811
2016-05-04 14:59:40 +0000,3.813013
2016-05-04 14:59:42 +0000,3.784877
2016-05-04 14:59:45 +0000,3.668980
2016-05-04 14:59:47 +0000,3.362225
2016-05-04 14:59:50 +0000,3.067516
2016-05-04 14:59:52 +0000,3.220822
2016-05-04 14:59:55 +0000,3.326686
2016-05-04 14:59:58 +0000,3.200718
2016-05-04 15:00:00 +0000,3.827578
2016-05-04 15:00:03 +0000,3.265701
2016-05-04 15:00:05 +0000,3.260833
