Time,X,Y,Z
2016-05-04 15:05:34 +0000,0.072046,0.022780,-0.655280
2016-05-04 15:05:35 +0000,0.005637,-0.160981,-0.123685
2016-05-04 15:05:36 +0000,0.470125,0.450786,0.712662
2016-05-04 15:05:37 +0000,0.065686,0.103439,0.113588
2016-05-04 15:05:38 +0000,-0.015308,-0.007885,-0.476500
2016-05-04 15:05:39 +0000,-0.018610,-0.147809,-0.054772
2016-05-04 15:05:40 +0000,0.317790,0.003808,0.441093
2016-05-04 15:05:41 +0000,0.065459,0.142833,0.134949
2016-05-04 15:05:42 +0000,0.090524,0.007898,-0.263867
2016-05-04 15:05:43 +0000,-0.355302,-0.127050,-0.088760
2016-05-04 15:05:44 +0000,-0.012425,-0.111761,0.133571
2016-05-04 15:05:45 +0000,0.072742,-0.211954,0.288303
2016-05-04 15:05:46 +0000,-0.167734,-0.013814,0.314152
2016-05-04 15:05:47 +0000,0.021206,0.188550,-0.064185
2016-05-04 15:05:48 +0000,-0.174153,-0.012328,-0.192010
2016-05-04 15:05:49 +0000,-0.231086,-0.280039,-0.253826
2016-05-04 15:05:50 +0000,0.078328,0.143819,0.126568
2016-05-04 15:05:51 +0000,0.009972,-0.294635,0.283245
2016-05-04 15:05:52 +0000,-0.257620,-0.032351,0.186724
2016-05-04 15:05:53 +0000,0.212668,-0.025962,0.000897
2016-05-04 15:05:54 +0000,-0.041590,0.181413,-0.230667
2016-05-04 15:05:55 +0000,-0.070907,0.094194,-0.274757
2016-05-04 15:05:56 +0000,-0.008809,-0.051290,-0.065070
2016-05-04 15:05:57 +0000,0.043191,0.283637,0.056409
2016-05-04 15:05:58 +0000,0.031354,-0.181099,0.283733
2016-05-04 15:05:59 +0000,-0.305082,0.264946,0.179572
2016-05-04 15:06:00 +0000,0.118480,-0.011081,-0.035050
2016-05-04 15:06:01 +0000,-0.309440,0.013700,-0.342088
2016-05-04 15:06:02 +0000,-0.636127,-0.216722,-0.686013
2016-05-04 15:06:03 +0000,0.015244,0.078863,0.063074
2016-05-04 15:06:04 +0000,0.091015,-0.009106,0.119927
2016-05-04 15:06:05 +0000,0.282039,0.489513,0.533406
2016-05-04 15:06:06 +0000,0.084214,-0.109797,0.145129
2016-05-04 15:06:07 +0000,-0.107783,0.092469,-0.217697
2016-05-04 15:06:08 +0000,-0.246055,-0.273467,-0.416629
2016-05-04 15:06:09 +0000,-0.170081,-0.231627,-0.110650
2016-05-04 15:06:10 +0000,0.193409,-0.021154,0.095354
2016-05-04 15:06:11 +0000,0.012218,-0.204888,0.196305
2016-05-04 15:06:12 +0000,-0.075113,0.232447,0.157226
2016-05-04 15:06:13 +0000,-0.016008,-0.034854,-0.168232
2016-05-04 15:06:14 +0000,-0.166852,-0.015802,-0.435433
2016-05-04 15:06:15 +0000,-0.048960,0.058671,-0.161933
2016-05-04 15:06:16 +0000,-0.113636,-0.253031,-0.118672
2016-05-04 15:06:17 +0000,0.135529,0.177175,0.232458
2016-05-04 15:06:18 +0000,-0.179136,-0.750018,0.399390
2016-05-04 15:06:19 +0000,-0.105331,-0.245790,0.237613
2016-05-04 15:06:20 +0000,-0.029909,-0.007642,-0.244850
2016-05-04 15:06:21 +0000,-0.035319,0.282934,-0.298401
2016-05-04 15:06:22 +0000,-0.171133,0.053512,-0.767033
2016-05-04 15:06:23 +0000,-0.068055,-0.174947,-0.185027
2016-05-04 15:06:24 +0000,-0.025529,-0.002194,0.169871
2016-05-04 15:06:25 +0000,-0.052309,-0.460369,0.232265
2016-05-04 15:06:26 +0000,-0.097057,0.247195,0.127283
2016-05-04 15:06:27 +0000,-0.099078,-0.026116,-0.158369
2016-05-04 15:06:28 +0000,-0.161808,0.001895,-0.497009
2016-05-04 15:06:29 +0000,-0.647844,-0.479264,-0.366744
2016-05-04 15:06:30 +0000,-0.051623,-0.208248,-0.056301
2016-05-04 15:06:31 +0000,0.224354,0.339215,0.201811
2016-05-04 15:06:32 +0000,-0.100228,-0.379520,0.243707
2016-05-04 15:06:33 +0000,-0.156979,-0.129184,0.379888
2016-05-04 15:06:34 +0000,-0.036251,-0.070434,-0.083454
2016-05-04 15:06:35 +0000,-0.191980,-0.125901,-0.391291
2016-05-04 15:06:36 +0000,-0.805571,-0.111639,-0.565091
2016-05-04 15:06:37 +0000,-0.013772,0.022907,-0.087260
2016-05-04 15:06:38 +0000,0.115176,0.263439,0.081499
2016-05-04 15:06:39 +0000,-0.155673,0.101627,0.464473
2016-05-04 15:06:40 +0000,0.059359,-0.000181,0.185570
2016-05-04 15:06:41 +0000,-0.106627,-0.080681,-0.239384
2016-05-04 15:06:42 +0000,-0.132599,0.207044,-0.434550
2016-05-04 15:06:43 +0000,-0.855764,-0.485723,-0.664322
2016-05-04 15:06:44 +0000,0.096346,-0.025986,-0.052310
2016-05-04 15:06:45 +0000,-0.021091,-0.091159,0.402542
2016-05-04 15:06:46 +0000,0.217782,0.030736,0.276468
2016-05-04 15:06:47 +0000,0.250666,0.147052,0.207961
2016-05-04 15:06:48 +0000,-0.083322,-0.132136,-0.321161
2016-05-04 15:06:49 +0000,0.052367,0.137363,-0.093787
2016-05-04 15:06:50 +0000,-0.133512,-0.204278,-0.141067
2016-05-04 15:06:51 +0000,0.302596,0.291911,0.319395
2016-05-04 15:06:52 +0000,-0.366447,0.352498,0.246191
2016-05-04 15:06:53 +0000,0.277739,0.155274,0.169962
2016-05-04 15:06:54 +0000,0.150814,0.301745,-0.467765
2016-05-04 15:06:55 +0000,-0.695507,0.373550,-0.311904
2016-05-04 15:06:56 +0000,-0.282587,-0.160909,-0.038180
2016-05-04 15:06:57 +0000,0.071429,-0.016767,0.069749
2016-05-04 15:06:58 +0000,-0.250770,-0.154368,0.393817
2016-05-04 15:06:59 +0000,-0.305304,-0.104999,0.081890
2016-05-04 15:07:00 +0000,0.010842,-0.221944,-0.204595
2016-05-04 15:07:01 +0000,-0.134820,0.084494,-0.522063
2016-05-04 15:07:02 +0000,-0.707910,-0.126055,-0.636498
2016-05-04 15:07:03 +0000,-0.019238,-0.028123,0.090122
2016-05-04 15:07:04 +0000,0.312926,0.190533,0.420248
2016-05-04 15:07:05 +0000,0.009453,0.202480,0.535409
2016-05-04 15:07:06 +0000,-0.076493,0.156125,0.176161
2016-05-04 15:07:07 +0000,-0.134024,0.074920,-0.331758
2016-05-04 15:07:08 +0000,-0.296583,-0.567288,-0.397643
2016-05-04 15:07:09 +0000,-0.820657,-0.039432,-0.373670
2016-05-04 15:07:10 +0000,0.092390,-0.074959,-0.080114
2016-05-04 15:07:11 +0000,0.029413,0.101579,-0.047312
2016-05-04 15:07:12 +0000,0.256319,0.419697,0.373499
2016-05-04 15:07:13 +0000,0.289848,0.248988,0.229854
2016-05-04 15:07:14 +0000,0.121460,0.009445,-0.356070
2016-05-04 15:07:15 +0000,0.279143,0.335662,0.157668
2016-05-04 15:07:16 +0000,-0.289925,-0.310085,-0.143884
2016-05-04 15:07:17 +0000,0.090365,-0.048580,0.083672
2016-05-04 15:07:18 +0000,0.156121,-0.043007,0.353314
2016-05-04 15:07:19 +0000,0.183368,0.187897,0.659302
2016-05-04 15:07:20 +0000,0.092984,-0.057428,0.213391
2016-05-04 15:07:21 +0000,0.137780,-0.018962,-0.302824
2016-05-04 15:07:22 +0000,0.041757,-0.332495,-0.219462
2016-05-04 15:07:23 +0000,-0.418359,-0.264961,0.094236
2016-05-04 15:07:24 +0000,0.049557,0.043615,0.037795
