Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,ETA
1462374326.672365,42.359122,-71.093488,11.056540,65.000000,-1.000000,-1.000000,41.236360
1462374356.488212,42.359187,-71.093032,11.377625,65.000000,-1.000000,-1.000000,41.236360
1462374365.491318,42.359205,-71.092886,11.377625,196.416379,-1.000000,-1.000000,41.236360
1462374370.557628,42.359124,-71.092671,11.497149,65.000000,-1.000000,-1.000000,41.236360
1462374379.562773,42.359090,-71.092479,11.497149,229.178059,-1.000000,-1.000000,41.236360
1462374407.526280,42.358936,-71.091806,11.613102,65.000000,-1.000000,-1.000000,41.236360
1462374416.530337,42.358899,-71.091655,11.613102,203.831453,-1.000000,-1.000000,41.236360
1462374418.000104,42.359383,-71.092614,10.333401,50.000000,-1.000000,-1.000000,41.236360
1462374419.000104,42.359383,-71.092614,10.867153,50.000000,-1.000000,0.000000,41.236360
1462374420.000103,42.359383,-71.092614,4.665249,50.000000,-1.000000,0.000000,41.236360
1462374421.000103,42.359413,-71.092557,4.620388,50.000000,-1.000000,0.000000,41.236360
1462374422.000104,42.359413,-71.092557,4.581356,50.000000,-1.000000,0.000000,41.236360
1462374423.000104,42.359413,-71.092557,4.591824,50.000000,-1.000000,0.000000,41.236360
1462374424.000104,42.359413,-71.092557,4.578121,50.000000,-1.000000,0.000000,41.236360
1462374425.000104,42.359413,-71.092557,4.574825,50.000000,-1.000000,0.000000,41.236360
1462374426.000104,42.359413,-71.092557,4.565884,50.000000,-1.000000,0.000000,41.236360
1462374427.000104,42.359413,-71.092557,4.572536,50.000000,-1.000000,0.000000,41.236360
1462374428.000104,42.359413,-71.092557,4.575253,50.000000,-1.000000,0.000000,41.236360
1462374429.000103,42.359413,-71.092557,4.581875,50.000000,-1.000000,0.000000,41.236360
1462374430.000104,42.359413,-71.092557,4.590511,50.000000,-1.000000,0.000000,41.236360
1462374431.000104,42.359413,-71.092557,4.575771,50.000000,-1.000000,0.000000,41.236360
